GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
01534	22684046	325551	8.758	0.126	42.142074	-71.643348
01535	55084353	1754938	21.268	0.678	42.267564	-72.066876
01536	21589140	748438	8.336	0.289	42.231309	-71.692642
01537	18084548	295746	6.982	0.114	42.158966	-71.897051
01540	50104199	2048496	19.345	0.791	42.116263	-71.857465
01541	91769482	1032232	35.432	0.399	42.454125	-71.87754
01542	10428066	422663	4.026	0.163	42.204251	-71.908907
01543	90974490	2946993	35.125	1.138	42.388285	-71.969865
01545	53731973	2717369	20.746	1.049	42.284767	-71.714228
01550	52418640	1611501	20.239	0.622	42.059737	-72.033908
01560	9225421	270460	3.562	0.104	42.175395	-71.674223
01561	319275	0	0.123	0.	42.44397	-71.685583
01562	85084292	3005405	32.851	1.16	42.247211	-71.991867
01564	79294036	2752967	30.616	1.063	42.447924	-71.776045
01566	73421231	2569632	28.348	0.992	42.103214	-72.079545
01568	55570138	610354	21.456	0.236	42.176526	-71.603588
01569	75310394	1580615	29.078	0.61	42.055921	-71.631128
01570	32005195	5800849	12.357	2.24	42.047532	-71.846952
01571	53955588	2743023	20.832	1.059	42.053778	-71.935075
01581	53357596	2228808	20.601	0.861	42.268426	-71.613309
01583	32681395	2356134	12.618	0.91	42.369417	-71.785036
01585	66167925	1669172	25.548	0.644	42.240796	-72.162645
01588	22296232	1649001	8.609	0.637	42.1188	-71.672496
01590	82927105	4166445	32.018	1.609	42.132051	-71.750318
01602	14939160	631588	5.768	0.244	42.269189	-71.850728
01603	11686430	340396	4.512	0.131	42.243826	-71.843569
01604	16675674	475489	6.439	0.184	42.253485	-71.767932
01605	14610462	341303	5.641	0.132	42.289683	-71.787793
01606	15353871	24033	5.928	0.009	42.315249	-71.795741
01607	8191354	136953	3.163	0.053	42.225974	-71.788894
01608	1159106	0	0.448	0.	42.26198	-71.801462
01609	9896491	56961	3.821	0.022	42.285114	-71.829987
01610	5501913	9032	2.124	0.003	42.247049	-71.808366
01611	8914392	647960	3.442	0.25	42.237604	-71.875838
01612	39662272	1981211	15.314	0.765	42.296798	-71.928991
01701	43944779	1817823	16.967	0.702	42.319587	-71.4428
01702	20951471	1972409	8.089	0.762	42.282379	-71.436623
01718	120260	0	0.046	0.	42.519818	-71.429286
01719	26638827	317226	10.285	0.122	42.485985	-71.520985
01720	51059959	1114409	19.714	0.43	42.483953	-71.438495
